state,STATEFP,CDFP,GEOID,NAMELSAD,LSAD,CDSESSN,area,perimeter,convex_hull,polsby_popper,reock,schwartzberg
CA,06,52,0652,Congressional District 52,C2,115,0.09519975199054898,3.1672994585205974,0.6592575435717754,0.11925248232071917,0.33980513899247866,0.3453295271486629
CA,06,30,0630,Congressional District 30,C2,115,0.03493110928047827,1.527867171131358,0.6522170569783993,0.188040346410349,0.278042835659216,0.4336361913059714
CA,06,18,0618,Congressional District 18,C2,115,0.21646339237486245,3.472043941037472,0.8020611428874034,0.2256440565498797,0.5205030238568341,0.47502005910264433
CA,06,20,0620,Congressional District 20,C2,115,1.4259842112137449,6.722121301443134,0.8967586732995594,0.39656272553886507,0.3682781919404374,0.6297322649657274
CA,06,42,0642,Congressional District 42,C2,115,0.2400111400102105,5.218024555912323,0.6287571474436108,0.11077175250668062,0.32255349858979715,0.33282390615260893
CA,06,25,0625,Congressional District 25,C2,115,0.43327871327801404,5.005929622367864,0.6897754509183056,0.21727398895482228,0.32203611574093066,0.4661265803993828
LA,22,04,2204,Congressional District 4,C2,115,3.173201909178715,15.966549776078462,0.6136178105043237,0.15641752596574066,0.3592697274934642,0.39549655619959656
LA,22,02,2202,Congressional District 2,C2,115,0.3561198204467928,8.943549462950449,0.38305824859966914,0.05594820832199852,0.15478487586696102,0.23653373611812445
LA,22,06,2206,Congressional District 6,C2,115,1.0747163840483154,13.674445957655708,0.6046881141659839,0.07222445199936332,0.3803304121877856,0.2687460734585035
IA,19,01,1901,Congressional District 1,C2,115,3.444208744473144,12.84736119011505,0.6737955498969459,0.2622234101585179,0.3290466623867758,0.5120775431109217
CA,06,32,0632,Congressional District 32,C2,115,0.031952524556572826,1.812399029905168,0.649639925038074,0.12223832752319146,0.354021699834621,0.3496259823342531
CA,06,43,0643,Congressional District 43,C2,115,0.018241587997863462,0.8718919099030119,0.7242967353626153,0.30154158319190805,0.3988412327735722,0.5491280207673872
CA,06,35,0635,Congressional District 35,C2,115,0.042739024655247704,1.5825270391357413,0.6075435099625762,0.21445303293485526,0.23540755669579713,0.46309073941815687
CA,06,13,0613,Congressional District 13,C2,115,0.03864456710925879,1.1090616235056359,0.9211987866888992,0.39480891905375465,0.48037318609521856,0.6283382202713397
CA,06,26,0626,Congressional District 26,C2,115,0.33743979549080905,7.113512584172442,0.4017306945468452,0.08379882997795973,0.17735656506369363,0.2894802756285128
CA,06,44,0644,Congressional District 44,C2,115,0.026528506090244264,1.193132267547331,0.6678802728292158,0.23417766747925606,0.28337213238608905,0.4839190712084573
CA,06,19,0619,Congressional District 19,C2,115,0.24233919183870967,3.801704678691817,0.7752579561256738,0.21070593308751362,0.43491351708410025,0.45902715942252664
IA,19,04,1904,Congressional District 4,C2,115,6.496993504988268,14.654846249681984,0.8810129626289035,0.38015417441526955,0.3937458093218985,0.6165664395791175
IA,19,02,1902,Congressional District 2,C2,115,3.456004682487219,11.709549113087759,0.7338492983318948,0.3167406774584182,0.2577860231133922,0.5627971903433938
MN,27,01,2701,Congressional District 1,C2,115,3.5340616904979925,12.911720982383716,0.8299433212904718,0.26638865508220577,0.16344760436018047,0.5161285257396706
MN,27,03,2703,Congressional District 3,C2,115,0.17230806500538165,2.824128709815962,0.7608398481840456,0.27148541175016633,0.5199762902913303,0.5210426198979948
MN,27,04,2704,Congressional District 4,C2,115,0.1079788437868956,1.6065460986804119,0.8774152661898492,0.5257292653191572,0.48801470898633165,0.7250719035510598
MN,27,05,2705,Congressional District 5,C2,115,0.04200513912110182,1.1982753703169426,0.825279980251953,0.3676199112364625,0.5693874680568171,0.6063166757037634
CA,06,49,0649,Congressional District 49,C2,115,0.1882508781807246,3.48404460552242,0.6735516922500346,0.19488547042567334,0.335626525149048,0.4414583450628987
CA,06,05,0605,Congressional District 5,C2,115,0.4959851858939146,6.156345349044345,0.7296947390492377,0.16444952399816282,0.30378880719269735,0.4055237650226714
CA,06,24,0624,Congressional District 24,C2,115,3.102352564946841,18.816794994245974,0.8389302994024082,0.11010567626732715,0.33912222076089255,0.33182175375844053
NE,31,03,3103,Congressional District 3,C2,115,18.965178617287165,26.915344019234038,0.8256161614662658,0.32897805685812503,0.28250959668377046,0.5735660876116413
NE,31,02,3102,Congressional District 2,C2,115,0.1464549242573412,2.10822816850313,0.8600957645030893,0.4140746267920548,0.4939044707490588,0.6434863066080387
CA,06,29,0629,Congressional District 29,C2,115,0.023490398366448062,1.1829401101642059,0.6886450171761253,0.21094766885840005,0.45119087703868277,0.45929039708924907
CA,06,07,0607,Congressional District 7,C2,115,0.14814721890343208,2.0171737062143174,0.8922242104632718,0.4575270441944282,0.667528658857444,0.6764074542717787
CA,06,06,0606,Congressional District 6,C2,115,0.047984438923776906,1.7519441447909778,0.6659619699152081,0.19645802472721696,0.4338516402169108,0.4432358567706554
CA,06,39,0639,Congressional District 39,C2,115,0.05192671022882678,1.7983997439472248,0.752435757178702,0.20175681298682713,0.426851934577847,0.4491734776084037
IL,17,14,1714,Congressional District 14,C2,115,0.4566304050301824,5.995389887447726,0.6506005349331021,0.15963930479201033,0.36793434714123174,0.39954887659960997
TN,47,01,4701,Congressional District 1,C2,115,1.0959789520559298,8.007683594534038,0.7694827814923858,0.214782191070816,0.2696970787819625,0.46344599585152957
TN,47,03,4703,Congressional District 3,C2,115,1.1883463216267955,14.18046318111943,0.6033458338002116,0.07426292606875715,0.29567096981483554,0.2725122493921276
TN,47,05,4705,Congressional District 5,C2,115,0.3311307765902711,5.904160334528092,0.7853122653775779,0.11936943167186052,0.3794833195555267,0.3454988157314877
TN,47,04,4704,Congressional District 4,C2,115,1.562913309061969,11.959148421800782,0.6853389946370679,0.1373233033021995,0.27513306643659136,0.3705715899825558
CA,06,11,0611,Congressional District 11,C2,115,0.14036046284627446,2.834577806392883,0.7690095716747447,0.21952191912725239,0.23093368602755826,0.4685316628865678
OR,41,01,4101,Congressional District 1,C2,115,0.9890447368657078,6.90336198220496,0.7105425733646072,0.2607981505403374,0.4391344941598387,0.5106840026281784
OR,41,03,4103,Congressional District 3,C2,115,0.3292319573492932,4.321274466622858,0.7128570896320576,0.22155836164616968,0.30199134169175346,0.4706998636564172
OR,41,05,4105,Congressional District 5,C2,115,1.67219811089808,12.268929945821652,0.6232736254662414,0.13959961453212813,0.2884492382484448,0.37363031800447905
ME,23,01,2301,Congressional District 1,C2,115,1.4824429051980132,10.58801089414253,0.6125659294543842,0.16617247218191913,0.282696168480781,0.4076425789609313
ME,23,02,2302,Congressional District 2,C2,115,9.026597527162949,19.55537104340396,0.8411499523627154,0.2966209500036035,0.5322310979897052,0.5446291857801998
TN,47,07,4707,Congressional District 7,C2,115,2.4023464053518637,11.782290237872711,0.7174384012388695,0.21746334356428107,0.40157101764903425,0.4663296511742322
TN,47,02,4702,Congressional District 2,C2,115,0.6310062996703891,9.060690465751092,0.5531107810645887,0.09658751012556593,0.35193798802064535,0.3107853119527465
IL,17,05,1705,Congressional District 5,C2,115,0.02708823370949176,1.9427196097980006,0.48948756762920853,0.09019247482222896,0.2704011156163172,0.30032062004169635
IL,17,16,1716,Congressional District 16,C2,115,2.227287959254454,11.071047497901011,0.672042159754475,0.22835409562274286,0.3722559226256441,0.4778640974406247
IL,17,13,1713,Congressional District 13,C2,115,1.5942270648092745,10.470457893118152,0.5595473900731777,0.18273792642434147,0.23999706402314097,0.42747856838014864
